Shared_stories,Response_strories,Rate,Shared_stories_word_count,Response_stories_word_count
"My family. I had a family of four siblings, two older sisters. My brother, who was eleven years older than me, and then me. And there was kind of a dichotomy in the household. The two older sisters, they were accomplished, very beautiful. And they were in their own world. And I was sickly and a bookworm. Stayed at home all the time. And the only person there for me was my brother. And even though he was eleven years old, he always made time for me. And he did things with me every Saturday afternoon at the matinee on TV. We\'d watch The Three Stooges. And we\'d watch horror movies, those old Universal Horror movies. And he just made me feel special. And the song that reminds me of him most is ""Leaving on a Jet Plane"" because when I was nine years old, I attended his high school graduation. And no, I was seven years old. I\'m sorry. I attended his graduation. And when he stepped off stage, he received his diploma. And then he received a notice from the army recruiter that he was drafted to go to Vietnam. So the song by Peter, Paul, and Mary, ""Leaving on a Jet Plane"", became the song my mother and I would always listen to and think of him. And it just was very poignant and it meant a lot. And it was just I was bullied and a very sad child. And he brought sunshine to my life and spent time with me and loved me. So I felt very happy. But that song my mother and I would always cry. So anyway, that was my first story to introduce you and to tell you a little bit about me. Fortunately, I\'m a lot better but I just wanted to tell you that song means a lot to me and my brother meant a lot. So thank you for letting me share.","I grew up in Nanjing, China. When I was a baby, I lost my right leg in a fire. Shortly after that, I was abandoned on the street. I was found at a year and a half old and taken to the local government orphanage. Fortunately for me, I was adopted when I was seven years old and came here to the states.

When I was 14 years old, I received a running prosthetic. The day that I ran, I remember it being one of the most traumatizing days of my whole life. That was the first time that I was gonna have to be out. I was gonna have to show people that this is who I am, that I couldn't hide, that I was an amputee.

I got out there and I started running and I realized I love to do this. This is so liberating. This is so freeing because I am out and this is who I am.

I don't think you ever get one moment, have one experience, and you totally accept everything about who you are. That's a lifelong journey. But the start of that is finding something that allows you to be you.",5,377,230
"Well, I\'m going to tell you since my last story was kind of modeling, I will tell you a funny story. Well, my husband and I lived in Florida for quite some time. And we were on the beach. And there was a brand of suntan lotion that I had used before. They use it a lot in tanning salons, but it\'s also a really good suntanning lotion. So I grabbed it because I think it was like 15 or 18 SPF that we used all the time. And that day, I grabbed it. We put it on. We stayed out from about 10:00 a.m. We broke for lunch around noon and then remained out for another 3 hours. So we didn\'t eat that day on the beach and we stopped at a restaurant that we knew on the way home. And we noticed people looking at us really strangely. So I looked at him. He looked at me. We were still kind of sunblind from being out in the sun so long. So he looked behind me. I looked behind him so we couldn\'t figure it out. So we said, ""I said, I\'m going to go to the restroom and see if I look funny or anything."" And he said, ""Me too."" So the bathrooms were right next to each other. So I looked in the mirror and I said, ""Oh, my God."" And I heard from the other bathroom him exclaimed the same thing, ""Oh my God."" And what had happened is I had grabbed tanning accelerator instead of tanning lotion, and we were as red as lobsters. So long story short, if you are going to be in the Gulf of Mexico suntanning, you should make sure you\'re using proper suntanning lotion. Okay? That\'s it.","We were rolling around selling tee shirts, and we did that for five years. Along the way, we learned some things about what people liked and didn't like on shirts, but we weren't making a lot of money at all, just getting by. So we had decided that our label and our brand name was going to be something that already existed in people's minds in some way. ""Life is good"" was one of about 50 different slogans we put on an easel. 

In the morning, we woke up and we tore ""Life is good"" off the page, and we Scotch taped it up on the wall. And then we stepped back and we said, ""Okay, now it's not just for artists, this is for anyone who sees the glass half full."" 

Life goes by pretty quickly, and you have to think about when you're old and gray. What will make you happy to look back and say, ""You did it""? What will be fulfilling? You gotta think through and say, what would be meaningful in my life?",4,350,214
"Okay. I was married when I was young, and unfortunately, my first husband had a heart attack at a young age. And I had two young children to take care of. I hadn\'t dated or been out with anybody for years. My children were growing up - my son was in college and my daughter was 16. And she decided that she liked heavy music, so she wanted to go to Ozzfest in Georgia. So, a friend of hers, the mother, and I drove them to Atlanta. And we went to Ozzfest.\n\nI was getting something to drink for the mother, the other mother, and myself. And I was standing there, and I saw this man with the most beautiful hair I\'d ever seen. It was really long and just beautiful, thick, and beautiful. And I told him, ""You have the most beautiful hair of anyone I\'ve ever seen. Excuse me."" And he said, ""Well, thank you."" And, ""You look like you totally don\'t belong here."" So, I said I laughed, and we talked a little more. And I went and sat back down. And a little while later, I happened to look on one of the stages, and I saw him on stage performing with this band. I didn\'t even know he was a musician. And after the set, he came up to me and he said, ""Do you have an email?"" And I gave him my email address. And we started corresponding. And I married him two years later. And he\'s my current husband. And it was a really strange day, but it was one of the happiest days of my life. So, that\'s how I met my husband. He was playing at Ozzfest.","I have been dating Michelle for nearly three years. In June, we went to Rome, Italy for a week-long vacation she had booked for us. It was a trip of a lifetime for me as I had rarely traveled anywhere outside of the United States. We left Dallas and flew to London for a 6-hour layover. It was long enough where we could leave the airport and experience a little of the area before flying on to Rome.

After a few days in Rome touring all of the sites I had only read about, we had dinner at an extremely fancy restaurant. It was there that my life changed for the better. I was widowed about ten years ago, and I didn't think I would ever marry again. Much to my surprise, Michelle proposed to me. I know it isn't the traditional way this was supposed to work, but I was floored.

My heart and mind were racing that I don't even remember saying yes, but she said I accepted right away. The look on her face made me the happiest man in the world. I truly believe we were destined to be together, but it took me some nudging to make me realize it for real.

For the rest of the trip, I was walking on air. I have finally found happiness in my life again. I felt like the luckiest person on earth.",3,346,263
"So yeah. So, I can share a story that happened recently. So, I went to Yosemite with my boyfriend two weeks ago. We went to see one of the biggest meteor showers during the year, and that was very fascinating. That was really my first time seeing so many meteors at one time. And then, however, a part of the sky was covered by clouds, so we couldn't see meteors throughout all the areas in the sky, but at least through a specific small area we have seen a lot of meteors, so I was pretty satisfied. And I was also very grateful for my boyfriend. He woke up so early at 3:00 a.m. and drove us up to the Glacier Point in Yosemite to catch the sunrise, which is very beautiful, although I was still sleeping all the way while he was driving. And then afterwards, we went on a little hike to the Mirror Lake. However, once we got to the Mirror Lake, it started to rain. So then the Mirror Lake was supposed to be very smooth on its surface so that it looks like a mirror. But because of the raining, the mirror was kind of rough. So it was a numb mirror, Mirror Lake. But we still got a little exercise by hiking towards it. So it was still very fun. And after that, we went home. That was a pretty fun trip. I want to share with you.","My wife and I traveled to Italy and did an amazing hike in the Dolomite mountain range. I had wanted to do this hike for many years and had researched it quite a bit. I knew it was going to be difficult, but I had no idea how much so. We started early in the morning, and for about four hours, we just kept climbing up higher and higher. It was even more difficult because there were loose rocks under us for much of it.

Every time we reached what we thought was the top, another long uphill awaited us. Finally, after what I figured was another false top, we came up, and it was as though we were at the top of the world. There below us, spreading for 360 degrees, were what seemed like thousands of craggy mountain peaks. It was like something from Lord of the Rings. We both started to cry; it was so beautiful.

There was more crazy hiking to do, however, as we had to use ropes that had been attached to the mountain during World War I to traverse some cliffs and small waterfalls. That was the most difficult part for my wife, and I was so proud of her that she did it. I think she surprised herself.

It was really one of the most memorable experiences of our lives. Even though we pretty much killed ourselves doing it, I think we would both do the same hike again in a heartbeat.",3,279,279
"So I\'d like to tell a story about how I really got interested in robotics. There was this moment when I was in a Lego Robotics competition where I first realized that all robotics has the ability to help people. And even if the project that I came up with was super dumb back then, and it was absolutely not realistic at all, the fact that I realized that it could help is kind of what kept me going. So then in high school, I continued to do robotics. I continued to do outreach for robotics, to get people to get the same kind of insight on, like, ""Oh, I could actually do stuff with this."" And even now, I\'m still following that same passion for how robots can help people. And I\'m still doing it now.","I started off in physics, electrical engineering. I got my masters in biomedical engineering. Then I started a construction company. And that was just a result of buying a house I could afford in my 20s, which was really broken down and needed a lot of work. And so I worked on it, and I loved that. I found I had a real passion for construction. So then I was trying to reconcile, construction biomedical engineering, not quite sure how that works together.

All of that stopped completely when I had gotten married, and I had a baby three months early with cerebral palsy. He's now 11, so I realized as I was going to physical therapy with my son, I was getting so frustrated looking for things that were really gonna help my son. So we pulled together a team and created a device that I thought was going to help my son. It's a little wearable sensor.

And my company, Dynofit, that's what we have now. It's amazing, life is long, and you really have the opportunity to do a lot of different things. I don't really define myself as, ""I'm a this"" or ""I'm a that"". I'm a lot of things, we all are.",2,157,249
"Guys, so today I was watching an episode of Suits, and in Suits, there is a lawyer named Louis. The whole thing is a TV show that takes place in New York, in a law office. Louis is one of the lawyers who is constantly trying to be the best, and he always sees himself as inferior to Harvey, another character. And every time Louis tries to do some kind of payback for whatever Harvey did to him, it always ends up backfiring on him somehow. He always makes a bigger mess than what he started. What kind of resonated with me in this story is that it's not necessarily the greatest objective to try and be the best. Because if you are trying to be better than someone else, you're constantly competing and trying to undermine them or go against them. And while it can be healthy, to some extent, to have some competition, unhealthy competition doesn't make a lot of sense, and that kind of resonated with me. Because for so long, I competed in competitions for everything from math to science to robotics. And it was always like you had to be the best. And now, going past college, it doesn't make sense to try and be the best because everyone is doing something completely different from you. So just keep trying and undermining people will just backfire on you.","Growing up with just my dad and my brother, I was obviously very independent and strong-willed. My dad's best friend was a stockbroker, and for some reason, because I was so good with money, I decided that I would be a really good stockbroker. And fortunately, throughout high school, we had work exchange and work experience, and they used to send me off with all sorts of random checks and things to deliver somewhere, and I had no idea where I was going or how to get there.

And being the little surfy chick that I was, it just made me realize that wasn't the avenue I wanted to go down. Ultimately, to become successful in anything, you have to be relatively selfish. You have to be so one-dimensional.

I also believe that there's no such thing as a mistake; it's only a learning experience. The only mistake is not learning from it. But even then, you're just gonna be given the opportunity to learn it and learn it and learn it until such time as you do. So I made the same ""mistake"" over and over again until I actually got the lesson.",2,264,225
"So the play that I mentioned earlier, in the play, I take the role of a child who is really annoyed at having to do a service project, which is basically serving some burritos to a homeless population, and just really annoyed and frustrated and worried about my own material comforts. And then I realized that the homeless people can overhear me, and then I become super embarrassed and realize the fact that I can't really say bad things. I'm not supposed to say bad things about people because people might be hearing, and that wouldn't be very nice. And this kind of resonated with me because sometimes I do do things like that. Maybe not to that extent, but I don't want to load the dishwasher because I'm tired, but I need to load the dishwasher because maybe my mom is tired as well, and her arm is hurting, and therefore she can't do it. So I should probably help out. And it kind of just made me realize that, yes, sometimes I can be selfish, and I should be aware of that and not do that as often.","On Thanksgiving Day—that's the only day my parents would take me out to dinner—there was this woman going through a garbage can, with her little daughter, about three or four years old, picking out her Thanksgiving dinner out of a garbage can. At that point in my life, I began to think, it's not as good on this planet as I think it might be.

One of the things I wanted to do when I grew up was to try to make the world a better place. But I didn't have an awful lot of confidence getting there. Because as a Puerto Rican kid in New York, going to some terrible schools, nobody ever told me as a kid that I could really amount to much at all.

But finally, I met someone who helped me, and I was able to make the leap. And then, when I got into college and met some professors that had some faith in me and encouraged me to go to graduate school and so on and so forth, I always pointed my life in that direction.",5,216,204
"I'm going to share something about work today. So, I've been doing an internship. It ends on this Friday. As part of the internship, my project has been basically to render a component on the page. And I spent probably six, seven, eight, probably eight weeks of my twelve-week internship trying to get this thing to render on the page. And I've tried multiple different things on, how do I get this to work? Everything from giving it the bare minimum to giving it almost everything it could possibly take. And it still doesn't work. And I guess in this case, good enough is much better than perfect because there is no way I would have been able to finish this project in twelve weeks. And I recognize that now. And it was frustrating at times. But understanding that I did enough work so that someone else can pick it up and continue is pretty okay with me. I'm okay with the fact that good enough is much better than perfect. And this kind of reflects in other aspects, too, right? Yeah, you could sit there and polish every single tile in your floor to a mirror sheen, but also you're spending so much time on something that you could be spending on doing something else. So you might spend, like, 12 hours on the floor and not touch anything else. And that's kind of a waste, honestly. So good enough is better than perfect.","Engineering was exciting to me because it was the creation process of going from an idea to ""I've made this"" or ""this is a better way of doing it.""

We opened up the directory of industrial designers, and we just started cold calling down the list to try to get interviews. We had just graduated from college, so we didn't really know anything about their daily work, so we just asked them to tell us, ""So what do you do? Show us where you work. What kind of projects are you working on? What are the problems?""

And one of the patterns was people had a hard time finding new materials, finding suppliers, finding how to use it, finding what the options are. It's a whole can of worms that they just didn't know how to do.

I really wanted to realize my maximum potential, and I felt if I just took a job somewhere, then I wouldn't be able to realize it. It would just be whatever they gave you to do.

Today, if you want to build something, the barriers to try are very low. And it really comes back to effort and desire.",2,284,230
"So, I guess here, the fact is, I'm not a huge fan of the work that I had to do in this past year for my research. It wasn't what I really wanted to do, but I did it anyway because I was being paid to do it. And now I'm almost done. I've switched over to a new strain of work that I am interested in, but I still have to wrap up the last bits of my old work by writing a paper. And I really can't find any of the motivation to do it because I did not like the work at all. But this is the only way to prove that I did any work in the entirety of the last year. So, I guess, the main thing I'm learning here is, there is a challenge there. I don't want to work on it. I have no motivation to work on it, but I need to get it done. So if anything, I'm kind of completing it out of spite. And it seems that spite is a pretty good reason to keep going because it's just to prove someone else wrong. That thought that you couldn't. I'm taking it as motivation to do something I really am not motivated to do: to prove others that I was wrong. Prove others that they were wrong about me.","I spent 17 years at IBM right out of school, and I didn't take responsibility or any initiative regarding my career, and that was a big mistake. But finally, I got tired of it, so I started taking control of my career. That really helped; I got myself a job at Charles Schwab and got moved out here.

But towards the end of my time at Schwab, I started this little hobby: Craigslist. The initial idea was just that I would send friends, maybe 10 or 12, notices about what I thought were cool events. Then people started making suggestions of new categories like jobs, and it just keeps growing.

And by the end of '98, that's when I decided it was time to make it a real company.",1,266,149
"So, back in elementary school, I switched schools in third grade. I was put in a class with a group of people, and I had the same people in my class through fifth grade. The group of friends that I made there continued on through high school. And when we got to the college admissions process, when we were applying to colleges, a lot of them became super competitive. I'm still unsure as to the reason why they chose to become super competitive about it, but my decision was to not discuss my colleges with any of them because I didn't want people feeling bad about the decisions I made. I didn't want to share because I felt like that was more of a private thing to discuss with my family and not with my friends. For some reason, they took offense and to the point where, when I finally announced my college decision, they got really mad and they were nonchalant about it. It made me realize that even though I've had these friends for so long, they probably weren't really good friends to begin with. So I learned to let go of them and I cut contact with almost all of them now. And I'm a lot happier for it as a result.","""You are so smart."" That phrase has been told to me since I was a kid. I felt special when I was told this, so I did everything I could to get that phrase told to me by my peers, parents, and teachers. I even got into college with a pretty big scholarship.

But now that I am in my second year of college, I am massively struggling as I now see that my crutches, in the form of extra credit and scheduling that was given to me, caring teachers, are gone. I stay up late, doing homework, studying, trying to remember the information that I understand but can't retain, but it's not enough to pass tests that were supposed to be easy.

I feel like I was never that smart, just lucky. The little voice in the back of my head is telling me that everything that I have built up over the years should just be burned down, that I don't deserve to be in college. I should just let myself flunk out and let my family, friends, and everyone see me as what I am, an idiot who got a bit of luck and doesn't deserve the praise she got over the years.",1,241,237
